Nom,Prénom,"Date de naissance","Date de décès"
Bach,"Johann Sebastian",1685-03-31,1750-07-28
Mozart,"Wolfgang Amadeus",1756-01-27,1791-12-05
Beethoven,"Ludwig van",1770-12-17,1827-03-26
Chopin,Frédéric,1810-03-01,1849-10-17
Schubert,Franz,1797-01-31,1828-11-19
Haydn,Joseph,1732-03-31,1809-05-31
Mendelssohn,Felix,1809-02-03,1847-11-04
Vivaldi,Antonio,1678-03-04,1741-07-28
Handel,"Georg Friedrich",1685-02-23,1759-04-14
Tchaikovsky,"Pyotr Ilyich",1840-05-07,1893-11-06
Brahms,Johannes,1833-05-07,1897-04-03
Strauss,Johann,1825-10-25,1899-06-03
Debussy,Claude,1862-08-22,1918-03-25
Ravel,Maurice,1875-03-07,1937-12-28
Schumann,Robert,1810-06-08,1856-07-29
Grieg,Edvard,1843-06-15,1907-09-04
Verdi,Giuseppe,1813-10-09,1901-01-27
Wagner,Richard,1813-05-22,1883-02-13
Mahler,Gustav,1860-07-07,1911-05-18
Berlioz,Hector,1803-12-11,1869-03-08
Liszt,Franz,1811-10-22,1886-07-31
Puccini,Giacomo,1858-12-22,1924-11-29
Gershwin,George,1898-09-26,1937-07-11
Sibelius,Jean,1865-12-08,1957-09-20
Dvorak,Antonin,1841-09-08,1904-05-01
Rachmaninoff,Sergei,1873-04-01,1943-03-28
Saint-Saëns,Camille,1835-10-09,1921-12-16
Mussorgsky,Modest,1839-03-21,1881-03-28
Borodin,Alexander,1833-11-12,1887-02-27
Rimsky-Korsakov,Nikolai,1844-03-18,1908-06-21
Prokofiev,Sergei,1891-04-23,1953-03-05
Schoenberg,Arnold,1874-09-13,1951-07-13
Bartok,Bela,1881-03-25,1945-09-26
Stravinsky,Igor,1882-06-17,1971-04-06
Smetana,Bedrich,1824-03-02,1884-05-12
Mendelssohn-Bartholdy,Felix,1809-02-03,1847-11-04
Paganini,Niccolo,1782-10-27,1840-05-27
Lully,Jean-Baptiste,1632-11-28,1687-03-22
Monteverdi,Claudio,1567-05-15,1643-11-29
Palestrina,Giovanni Pierluigi da,1525-02-03,1594-02-02
Corelli,Arcangelo,1653-02-17,1713-01-08
Couperin,François,1668-11-10,1733-09-11
Rameau,Jean-Philippe,1683-09-25,1764-09-12